Designator,Mid X,Mid Y,Rotation,Layer
C1,186.18,-72.395,270.0,top
C10,195.995,-54.85,0.0,top
C11,166.415,-79.67,180.0,top
C12,183.17,-52.93,180.0,top
C13,183.255,-58.85,180.0,top
C14,196.035,-63.71,0.0,top
C15,167.95,-70.14,180.0,top
C16,183.17,-51.47,180.0,top
C17,177.4,-64.195,270.0,top
C2,175.5,-72.36,270.0,top
C20,196.035,-65.17,0.0,top
C21,171.63,-57.305,90.0,top
C3,175.5,-69.395,90.0,top
C4,186.18,-69.42,90.0,top
C5,187.64,-72.385,270.0,top
C6,198.325,-72.375,270.0,top
C7,187.64,-69.415,90.0,top
C8,198.33,-69.41,90.0,top
C9,174.335,-54.65,180.0,top
D1,180.87,-49.2025,270.0,top
D2,179.25,-49.2025,270.0,top
D4,167.19,-83.38,270.0,top
J1,174.42,-84.685,0.0,top
J10,153.015,-57.08,270.0,top
J11,207.99,-73.23,0.0,top
J12,207.99,-59.71,0.0,top
J13,207.99,-52.94,0.0,top
J14,153.015,-47.43,270.0,top
J15,211.575,-78.45,270.0,top
J16,187.79,-38.595,180.0,top
J2,182.83,-84.685,0.0,top
J3,191.25,-84.685,0.0,top
J4,199.65,-84.685,0.0,top
J5,175.46,-38.88,90.0,top
J6,163.13,-38.575,180.0,top
J7,156.41,-67.0575,0.0,top
J8,208.0,-66.48,0.0,top
J9,201.2,-38.595,180.0,top
R1,167.23,-61.995,270.0,top
R2,168.402,-45.466,0.0,top
R4,180.87,-52.165,90.0,top
R5,179.26,-52.165,90.0,top
R6,177.69,-57.205,90.0,top
S1,156.07,-80.34,90.0,top
SW1,172.34,-63.07,180.0,top
U1,180.855,-72.24,0.0,top
U2,193.02,-72.24,0.0,top
U4,170.34,-74.63,180.0,top
U5,189.93,-57.61,90.0,top
Y2,174.66,-57.23,180.0,top
